Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
57037	2.04544e-06	-4.88602	209	1	HSC	up	ANKMY2
57061	1.20803e-11	-7.17897	209	1	HSC	up	HYMAI
57088	5.5866e-15	-8.43105	209	1	HSC	up	PLSCR4
57099	1.29814e-06	-4.98513	209	1	HSC	up	AVEN
57128	9.62926e-08	-5.52731	209	1	HSC	up	LYRM4
57146	1.5602e-10	-6.73475	209	1	HSC	up	TMEM159
57149	1.28546e-07	-5.46897	209	1	HSC	up	LYRM1
57150	1.08767e-06	-5.0233	209	1	HSC	up	SMIM8
57178	1.81758e-06	-4.9119	209	1	HSC	up	ZMIZ1
57183	7.01403e-10	-6.4654	209	1	HSC	up	NA
57209	1.84718e-06	-4.90837	209	1	HSC	up	ZNF248
57211	2.54795e-33	-14.4651	209	1	HSC	up	ADGRG6
57235	1.81546e-07	-5.39869	209	1	HSC	up	NA
57380	9.53562e-07	-5.05156	209	1	HSC	up	MRS2
57460	1.70393e-11	-7.12019	209	1	HSC	up	PPM1H
57523	8.92168e-28	-12.7036	209	1	HSC	up	NYNRIN
57556	2.05019e-14	-8.22597	209	1	HSC	up	SEMA6A
57597	3.13864e-14	-8.15827	209	1	HSC	up	BAHCC1
57608	7.07701e-16	-8.75227	209	1	HSC	up	JCAD
57613	1.22534e-07	-5.47868	209	1	HSC	up	FAM234B
57711	5.54601e-06	-4.6633	209	1	HSC	up	ZNF529
5781	6.76684e-09	-6.0453	209	1	HSC	up	PTPN11
57819	7.282e-12	-7.26497	209	1	HSC	up	LSM2
57820	2.94303e-09	-6.20173	209	1	HSC	up	CCNB1IP1
5789	5.06475e-24	-11.4963	209	1	HSC	up	PTPRD
5832	4.17695e-06	-4.72738	209	1	HSC	up	ALDH18A1
58504	6.27338e-14	-8.04758	209	1	HSC	up	ARHGAP22
58528	2.64392e-10	-6.641	209	1	HSC	up	RRAGD
5859	4.90167e-07	-5.1928	209	1	HSC	up	QARS
586	3.26436e-14	-8.15201	209	1	HSC	up	BCAT1
5872	9.76018e-11	-6.81747	209	1	HSC	up	RAB13
5898	1.88046e-08	-5.84958	209	1	HSC	up	RALA
594	1.17474e-10	-6.78486	209	1	HSC	up	BCKDHB
5954	2.36618e-09	-6.24229	209	1	HSC	up	RCN1
5962	9.48522e-09	-5.9811	209	1	HSC	up	RDX
5977	1.32792e-07	-5.46238	209	1	HSC	up	DPF2
599	1.57446e-10	-6.73314	209	1	HSC	up	BCL2L2
60436	1.69678e-10	-6.71988	209	1	HSC	up	TGIF2
6045	5.0015e-06	-4.68673	209	1	HSC	up	RNF2
607	3.89443e-16	-8.84416	209	1	HSC	up	BCL9
6091	1.33902e-10	-6.76177	209	1	HSC	up	ROBO1
6171	1.80808e-21	-10.6606	209	1	HSC	up	RPL41
6297	1.07226e-12	-7.58547	209	1	HSC	up	SALL2
63035	1.62889e-13	-7.89381	209	1	HSC	up	BCORL1
6309	2.46001e-09	-6.23507	209	1	HSC	up	SC5D
6319	9.85394e-09	-5.97382	209	1	HSC	up	SCD
6328	2.04361e-09	-6.26945	209	1	HSC	up	SCN3A
6335	4.85885e-15	-8.45292	209	1	HSC	up	SCN9A
636	2.09674e-10	-6.68231	209	1	HSC	up	BICD1
63920	9.82592e-18	-9.40173	209	1	HSC	up	ZBED8
63931	4.34658e-08	-5.6858	209	1	HSC	up	MRPS14
64110	2.63681e-08	-5.78388	209	1	HSC	up	MAGEF1
64116	3.44946e-12	-7.39089	209	1	HSC	up	SLC39A8
6414	3.62883e-19	-9.89089	209	1	HSC	up	SELENOP
642	2.38893e-11	-7.06218	209	1	HSC	up	BLMH
64221	2.57251e-12	-7.43999	209	1	HSC	up	ROBO3
64288	5.60573e-14	-8.06562	209	1	HSC	up	ZSCAN31
64398	4.57964e-07	-5.20707	209	1	HSC	up	MPP5
644617	4.11248e-09	-6.13918	209	1	HSC	up	NA
6450	3.70357e-09	-6.1588	209	1	HSC	up	SH3BGR
646278	7.80576e-17	-9.08942	209	1	HSC	up	PDCD6IPP2
646593	1.60874e-17	-9.32781	209	1	HSC	up	NA
64754	2.07759e-08	-5.83025	209	1	HSC	up	SMYD3
64759	1.33877e-11	-7.16143	209	1	HSC	up	TNS3
