Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown
10519	1.64942e-17	-9.32406	209	1	TCELL	up
83752	1.65351e-17	-9.32368	209	1	TCELL	up
51654	1.71092e-17	-9.31856	209	1	TCELL	up
55303	1.75509e-17	-9.31473	209	1	TCELL	up
51735	2.03399e-17	-9.29256	209	1	TCELL	up
25945	2.09662e-17	-9.288	209	1	TCELL	up
642732	2.19308e-17	-9.28123	209	1	TCELL	up
9214	2.34458e-17	-9.27118	209	1	TCELL	up
6785	2.47994e-17	-9.26273	209	1	TCELL	up
23177	2.61428e-17	-9.25478	209	1	TCELL	up
9129	3.68645e-17	-9.20296	209	1	TCELL	up
51696	3.83492e-17	-9.197	209	1	TCELL	up
7128	3.99331e-17	-9.19089	209	1	TCELL	up
118924	4.23578e-17	-9.18198	209	1	TCELL	up
54674	4.28313e-17	-9.1803	209	1	TCELL	up
2145	4.85943e-17	-9.16122	209	1	TCELL	up
25777	5.23786e-17	-9.14987	209	1	TCELL	up
54476	5.41818e-17	-9.14475	209	1	TCELL	up
51586	5.59726e-17	-9.13983	209	1	TCELL	up
84861	5.72264e-17	-9.13647	209	1	TCELL	up
55324	5.79872e-17	-9.13447	209	1	TCELL	up
55096	6.012e-17	-9.129	209	1	TCELL	up
55037	6.02164e-17	-9.12876	209	1	TCELL	up
6955	6.02867e-17	-9.12858	209	1	TCELL	up
81576	6.15239e-17	-9.12551	209	1	TCELL	up
54014	7.07248e-17	-9.10438	209	1	TCELL	up
2744	7.94238e-17	-9.08679	209	1	TCELL	up
24140	8.0489e-17	-9.08477	209	1	TCELL	up
1154	8.12162e-17	-9.0834	209	1	TCELL	up
10600	8.74604e-17	-9.07216	209	1	TCELL	up
6584	9.40431e-17	-9.06113	209	1	TCELL	up
32	9.53496e-17	-9.05904	209	1	TCELL	up
54882	9.66612e-17	-9.05696	209	1	TCELL	up
91289	9.7828e-17	-9.05514	209	1	TCELL	up
80052	9.81833e-17	-9.05459	209	1	TCELL	up
6793	1.02672e-16	-9.04779	209	1	TCELL	up
64167	1.04396e-16	-9.04526	209	1	TCELL	up
10443	1.05712e-16	-9.04336	209	1	TCELL	up
6653	1.1049e-16	-9.03663	209	1	TCELL	up
3978	1.25073e-16	-9.01777	209	1	TCELL	up
112869	1.28204e-16	-9.01401	209	1	TCELL	up
1786	1.295e-16	-9.01248	209	1	TCELL	up
274	1.45353e-16	-8.99488	209	1	TCELL	up
311	1.56664e-16	-8.98346	209	1	TCELL	up
22884	1.63876e-16	-8.9766	209	1	TCELL	up
79991	1.70242e-16	-8.97078	209	1	TCELL	up
10140	1.73628e-16	-8.96778	209	1	TCELL	up
260294	1.78335e-16	-8.9637	209	1	TCELL	up
4790	1.83939e-16	-8.95898	209	1	TCELL	up
9659	1.85443e-16	-8.95773	209	1	TCELL	up
25976	1.88903e-16	-8.95491	209	1	TCELL	up
84851	1.92492e-16	-8.95204	209	1	TCELL	up
24148	1.97591e-16	-8.94804	209	1	TCELL	up
9194	2.02674e-16	-8.94416	209	1	TCELL	up
10216	2.06274e-16	-8.94147	209	1	TCELL	up
55795	2.12192e-16	-8.93715	209	1	TCELL	up
116829	2.2747e-16	-8.92653	209	1	TCELL	up
57234	2.55817e-16	-8.90856	209	1	TCELL	up
27436	2.82686e-16	-8.89328	209	1	TCELL	up
54677	2.84973e-16	-8.89204	209	1	TCELL	up
8573	3.22594e-16	-8.87305	209	1	TCELL	up
54941	3.4569e-16	-8.86244	209	1	TCELL	up
8675	3.50498e-16	-8.86033	209	1	TCELL	up
29978	4.22617e-16	-8.83161	209	1	TCELL	up
5144	4.31686e-16	-8.82835	209	1	TCELL	up
54665	4.53248e-16	-8.82086	209	1	TCELL	up
158852	4.57195e-16	-8.81953	209	1	TCELL	up
9857	4.64552e-16	-8.81707	209	1	TCELL	up
4050	4.77271e-16	-8.81292	209	1	TCELL	up
29969	5.11926e-16	-8.80214	209	1	TCELL	up
166	5.42339e-16	-8.79327	209	1	TCELL	up
79690	5.58932e-16	-8.78863	209	1	TCELL	up
25948	5.65546e-16	-8.78682	209	1	TCELL	up
22847	5.71652e-16	-8.78516	209	1	TCELL	up
373156	5.7232e-16	-8.78498	209	1	TCELL	up
5601	5.84517e-16	-8.78174	209	1	TCELL	up
64863	6.39727e-16	-8.76784	209	1	TCELL	up
6993	6.79685e-16	-8.7585	209	1	TCELL	up
6433	7.22941e-16	-8.74899	209	1	TCELL	up
55770	7.37111e-16	-8.746	209	1	TCELL	up
596	7.67805e-16	-8.7397	209	1	TCELL	up
55601	7.86642e-16	-8.73596	209	1	TCELL	up
1390	8.66359e-16	-8.72106	209	1	TCELL	up
80063	9.6164e-16	-8.70494	209	1	TCELL	up
65981	9.68672e-16	-8.70381	209	1	TCELL	up
727927	9.70549e-16	-8.70352	209	1	TCELL	up
64919	9.71749e-16	-8.70332	209	1	TCELL	up
4603	1.0402e-15	-8.6928	209	1	TCELL	up
23175	1.0784e-15	-8.68722	209	1	TCELL	up
8481	1.22903e-15	-8.66699	209	1	TCELL	up
2971	1.23864e-15	-8.66578	209	1	TCELL	up
11184	1.27602e-15	-8.66117	209	1	TCELL	up
388344	1.32682e-15	-8.65513	209	1	TCELL	up
10320	1.34603e-15	-8.6529	209	1	TCELL	up
2833	1.47747e-15	-8.63845	209	1	TCELL	up
10668	1.50115e-15	-8.63599	209	1	TCELL	up
5991	1.59947e-15	-8.62615	209	1	TCELL	up
79612	1.61463e-15	-8.62468	209	1	TCELL	up
7626	1.70448e-15	-8.61628	209	1	TCELL	up
4256	1.76092e-15	-8.61122	209	1	TCELL	up
3163	1.76944e-15	-8.61047	209	1	TCELL	up
3003	1.78303e-15	-8.60928	209	1	TCELL	up
57035	1.86557e-15	-8.60225	209	1	TCELL	up
104	2.06856e-15	-8.58619	209	1	TCELL	up
26205	2.0963e-15	-8.58412	209	1	TCELL	up
23252	2.2697e-15	-8.57176	209	1	TCELL	up
2634	2.33458e-15	-8.56737	209	1	TCELL	up
23078	2.39995e-15	-8.56307	209	1	TCELL	up
9267	2.42924e-15	-8.56118	209	1	TCELL	up
10594	2.48315e-15	-8.55776	209	1	TCELL	up
3572	2.56936e-15	-8.55245	209	1	TCELL	up
339287	2.58248e-15	-8.55165	209	1	TCELL	up
55316	2.64293e-15	-8.54805	209	1	TCELL	up
6687	2.86119e-15	-8.53568	209	1	TCELL	up
2845	2.89029e-15	-8.5341	209	1	TCELL	up
63892	2.90028e-15	-8.53356	209	1	TCELL	up
440515	2.93977e-15	-8.53145	209	1	TCELL	up
171023	2.97931e-15	-8.52937	209	1	TCELL	up
55049	2.9836e-15	-8.52915	209	1	TCELL	up
9249	2.9946e-15	-8.52857	209	1	TCELL	up
57060	3.56103e-15	-8.50153	209	1	TCELL	up
7480	3.7372e-15	-8.49398	209	1	TCELL	up
79632	3.77102e-15	-8.49258	209	1	TCELL	up
6197	4.10207e-15	-8.47942	209	1	TCELL	up
54853	4.73209e-15	-8.45706	209	1	TCELL	up
10801	4.85137e-15	-8.45316	209	1	TCELL	up
9923	5.26171e-15	-8.44044	209	1	TCELL	up
81550	5.65387e-15	-8.42917	209	1	TCELL	up
50650	5.77019e-15	-8.42598	209	1	TCELL	up
4242	6.07109e-15	-8.418	209	1	TCELL	up
51460	6.15443e-15	-8.41586	209	1	TCELL	up
55269	6.23294e-15	-8.41387	209	1	TCELL	up
8725	6.3735e-15	-8.41037	209	1	TCELL	up
7267	6.68857e-15	-8.40279	209	1	TCELL	up
801	6.71895e-15	-8.40208	209	1	TCELL	up
79912	6.77109e-15	-8.40087	209	1	TCELL	up
10001	6.87034e-15	-8.39858	209	1	TCELL	up
3937	6.90285e-15	-8.39784	209	1	TCELL	up
80100	7.11451e-15	-8.39309	209	1	TCELL	up
79913	7.36062e-15	-8.38775	209	1	TCELL	up
9692	7.76911e-15	-8.37926	209	1	TCELL	up
10565	7.92471e-15	-8.37614	209	1	TCELL	up
404734	9.29266e-15	-8.35107	209	1	TCELL	up
9404	9.42235e-15	-8.34889	209	1	TCELL	up
833	9.64456e-15	-8.34521	209	1	TCELL	up
2272	1.0584e-14	-8.33056	209	1	TCELL	up
