Gene.ID	p.value	ttest.z.score	Degrees.of.freedom	Direction	cell.type	updown	hgnc.symbol
55544	1.88884e-35	-15.1408	209	1	l-ERY	up	RBM38
79654	2.44719e-35	-15.1051	209	1	l-ERY	up	HECTD3
92815	3.1059e-35	-15.0722	209	1	l-ERY	up	HIST3H2A
27343	3.64014e-35	-15.0503	209	1	l-ERY	up	POLL
760	4.36696e-35	-15.0252	209	1	l-ERY	up	CA2
79269	4.69094e-35	-15.0154	209	1	l-ERY	up	DCAF10
2235	5.44985e-35	-14.9947	209	1	l-ERY	up	FECH
5911	7.53566e-35	-14.95	209	1	l-ERY	up	RAP2A
66008	9.52479e-35	-14.9178	209	1	l-ERY	up	TRAK2
5594	1.31948e-34	-14.8729	209	1	l-ERY	up	MAPK1
51573	1.77591e-34	-14.8319	209	1	l-ERY	up	GDE1
3068	2.35341e-34	-14.7931	209	1	l-ERY	up	HDGF
23380	2.99847e-34	-14.7598	209	1	l-ERY	up	SRGAP2
8408	3.8401e-34	-14.7257	209	1	l-ERY	up	ULK1
115201	4.14977e-34	-14.715	209	1	l-ERY	up	ATG4A
8897	4.32533e-34	-14.7093	209	1	l-ERY	up	MTMR3
200424	4.85083e-34	-14.6935	209	1	l-ERY	up	TET3
2993	5.66723e-34	-14.6721	209	1	l-ERY	up	GYPA
84981	6.01041e-34	-14.664	209	1	l-ERY	up	MIR22HG
383	6.01046e-34	-14.664	209	1	l-ERY	up	ARG1
7915	7.25457e-34	-14.6381	209	1	l-ERY	up	ALDH5A1
23589	8.69843e-34	-14.6131	209	1	l-ERY	up	CARHSP1
2348	8.93511e-34	-14.6094	209	1	l-ERY	up	FOLR1
57498	9.33905e-34	-14.6033	209	1	l-ERY	up	KIDINS220
375	9.67065e-34	-14.5985	209	1	l-ERY	up	ARF1
10438	1.18963e-33	-14.57	209	1	l-ERY	up	C1D
9973	1.2452e-33	-14.5637	209	1	l-ERY	up	CCS
80232	1.45452e-33	-14.5423	209	1	l-ERY	up	WDR26
10121	1.60363e-33	-14.5288	209	1	l-ERY	up	ACTR1A
4485	1.62622e-33	-14.5269	209	1	l-ERY	up	MST1
4924	2.02337e-33	-14.4968	209	1	l-ERY	up	NUCB1
54165	2.46397e-33	-14.4697	209	1	l-ERY	up	DCUN1D1
6622	2.74036e-33	-14.4551	209	1	l-ERY	up	SNCA
4751	3.24991e-33	-14.4316	209	1	l-ERY	up	NEK2
10928	3.44998e-33	-14.4233	209	1	l-ERY	up	RALBP1
51327	3.54429e-33	-14.4196	209	1	l-ERY	up	AHSP
1514	3.91034e-33	-14.4061	209	1	l-ERY	up	CTSL
55777	4.39963e-33	-14.3899	209	1	l-ERY	up	MBD5
81631	4.54339e-33	-14.3854	209	1	l-ERY	up	MAP1LC3B
4140	4.63281e-33	-14.3828	209	1	l-ERY	up	MARK3
5045	4.90966e-33	-14.3748	209	1	l-ERY	up	FURIN
54676	4.99601e-33	-14.3724	209	1	l-ERY	up	GTPBP2
6510	7.52258e-33	-14.316	209	1	l-ERY	up	SLC1A5
23608	8.64663e-33	-14.2968	209	1	l-ERY	up	MKRN1
669	8.65874e-33	-14.2966	209	1	l-ERY	up	BPGM
7251	1.04836e-32	-14.2703	209	1	l-ERY	up	TSG101
1743	1.28875e-32	-14.2419	209	1	l-ERY	up	DLST
55635	1.58993e-32	-14.213	209	1	l-ERY	up	DEPDC1
11193	2.38061e-32	-14.1574	209	1	l-ERY	up	WBP4
4066	2.77782e-32	-14.1361	209	1	l-ERY	up	LYL1
9567	2.87928e-32	-14.1312	209	1	l-ERY	up	GTPBP1
6794	3.09948e-32	-14.121	209	1	l-ERY	up	STK11
7390	4.27703e-32	-14.0767	209	1	l-ERY	up	UROS
25994	4.39769e-32	-14.0729	209	1	l-ERY	up	HIGD1A
29086	4.73776e-32	-14.0626	209	1	l-ERY	up	BABAM1
10010	6.09941e-32	-14.0278	209	1	l-ERY	up	TANK
25793	6.32068e-32	-14.0229	209	1	l-ERY	up	FBXO7
10098	9.13682e-32	-13.9722	209	1	l-ERY	up	TSPAN5
115123	1.00393e-31	-13.9592	209	1	l-ERY	up	MARCH3
5534	1.02457e-31	-13.9564	209	1	l-ERY	up	PPP3R1
91300	1.27101e-31	-13.9267	209	1	l-ERY	up	R3HDM4
8140	1.30644e-31	-13.9229	209	1	l-ERY	up	SLC7A5
10580	1.33325e-31	-13.9201	209	1	l-ERY	up	SORBS1
1508	1.34067e-31	-13.9193	209	1	l-ERY	up	CTSB
8925	1.59976e-31	-13.895	209	1	l-ERY	up	HERC1
727811	1.9212e-31	-13.8698	209	1	l-ERY	up	NA
10498	2.38175e-31	-13.8402	209	1	l-ERY	up	CARM1
54810	2.62006e-31	-13.827	209	1	l-ERY	up	GIPC2
56648	2.63866e-31	-13.8261	209	1	l-ERY	up	EIF5A2
79098	3.53537e-31	-13.7858	209	1	l-ERY	up	C1orf116
7280	3.67379e-31	-13.7805	209	1	l-ERY	up	TUBB2A
55633	4.99792e-31	-13.7381	209	1	l-ERY	up	TBC1D22B
7265	5.40502e-31	-13.7273	209	1	l-ERY	up	TTC1
10661	7.69233e-31	-13.6786	209	1	l-ERY	up	KLF1
767	7.8735e-31	-13.6754	209	1	l-ERY	up	CA8
11183	1.27737e-30	-13.6087	209	1	l-ERY	up	MAP4K5
83475	1.34141e-30	-13.602	209	1	l-ERY	up	DOHH
1981	1.54815e-30	-13.5822	209	1	l-ERY	up	EIF4G1
9787	1.69548e-30	-13.5697	209	1	l-ERY	up	DLGAP5
7866	2.11119e-30	-13.5394	209	1	l-ERY	up	IFRD2
81565	2.35257e-30	-13.5245	209	1	l-ERY	up	NDEL1
63874	2.40952e-30	-13.5212	209	1	l-ERY	up	ABHD4
64853	2.5036e-30	-13.5159	209	1	l-ERY	up	AIDA
79071	3.16977e-30	-13.4834	209	1	l-ERY	up	ELOVL6
4097	3.28462e-30	-13.4785	209	1	l-ERY	up	MAFG
9958	6.19133e-30	-13.391	209	1	l-ERY	up	USP15
4815	1.04842e-29	-13.3183	209	1	l-ERY	up	NINJ2
5606	1.10436e-29	-13.3111	209	1	l-ERY	up	MAP2K3
2057	1.40832e-29	-13.2776	209	1	l-ERY	up	EPOR
10929	1.68953e-29	-13.2524	209	1	l-ERY	up	SRSF8
26994	1.84663e-29	-13.2402	209	1	l-ERY	up	RNF11
9693	1.87371e-29	-13.2382	209	1	l-ERY	up	RAPGEF2
5274	2.15242e-29	-13.219	209	1	l-ERY	up	SERPINI1
9911	2.4547e-29	-13.2008	209	1	l-ERY	up	TMCC2
720	2.73835e-29	-13.1857	209	1	l-ERY	up	C4A
9663	2.84749e-29	-13.1803	209	1	l-ERY	up	LPIN2
6004	2.97418e-29	-13.1743	209	1	l-ERY	up	RGS16
9776	4.61914e-29	-13.1135	209	1	l-ERY	up	ATG13
665	5.33497e-29	-13.0936	209	1	l-ERY	up	BNIP3L
8395	5.34979e-29	-13.0932	209	1	l-ERY	up	PIP5K1B
56172	6.34355e-29	-13.0696	209	1	l-ERY	up	ANKH
10845	7.10547e-29	-13.054	209	1	l-ERY	up	CLPX
5494	7.43558e-29	-13.0477	209	1	l-ERY	up	PPM1A
3953	8.21756e-29	-13.0338	209	1	l-ERY	up	LEPR
1611	1.09311e-28	-12.9944	209	1	l-ERY	up	DAP
3052	1.27578e-28	-12.973	209	1	l-ERY	up	HCCS
55589	1.36472e-28	-12.9637	209	1	l-ERY	up	BMP2K
55615	1.51171e-28	-12.9495	209	1	l-ERY	up	PRR5
9978	1.86387e-28	-12.9205	209	1	l-ERY	up	RBX1
23710	2.76754e-28	-12.8658	209	1	l-ERY	up	GABARAPL1
384	3.00718e-28	-12.8543	209	1	l-ERY	up	ARG2
55030	3.27842e-28	-12.8424	209	1	l-ERY	up	FBXO34
4122	5.14408e-28	-12.78	209	1	l-ERY	up	MAN2A2
204851	6.351e-28	-12.7508	209	1	l-ERY	up	HIPK1
